label,x,y,score,class,year,citations,title,doi
Robert Geirhos et al. (2020),-3004.228,1583.614,0.069,0,2020,1616,Shortcut learning in deep neural networks,10.1038/s42256-020-00257-z
Aäron van den Oord et al. (2018),-5615.803,2893.375,0.001,0,2018,4496,Representation Learning with Contrastive Predictive Coding,10.48550/arxiv.1807.03748
Tara N. Sainath et al. (2015),-4610.277,3091.298,0.002,0,2015,1594,"Convolutional, Long Short-Term Memory, fully connected Deep Neural Networks",10.1109/icassp.2015.7178838
Geoffrey E. Hinton & Ruslan Salakhutdinov (2006),-2804.488,1480.383,0.038,0,2006,20525,Reducing the Dimensionality of Data with Neural Networks,10.1126/science.1127647
Ruslan Salakhutdinov & Andriy Mnih (2008),-1983.729,2625.294,0.004,0,2008,1437,Bayesian probabilistic matrix factorization using Markov chain Monte Carlo,10.1145/1390156.1390267
Thomas Hofmann (2013),27.62,2382.157,0.002,0,2013,2092,Probabilistic Latent Semantic Analysis,10.48550/arxiv.1301.6705
Thomas Hofmann (2004),515.415,2124.339,0.009,0,2004,1379,Latent semantic models for collaborative filtering,10.1145/963770.963774
Ken Goldberg et al. (2001),1855.107,2338.728,0,1,2001,1420,Eigentaste: A Constant Time Collaborative Filtering Algorithm,10.1023/a:1011419012209
John S. Breese et al. (2013),2031.295,1849.836,0.006,1,2013,4510,Empirical Analysis of Predictive Algorithms for Collaborative Filtering,10.48550/arxiv.1301.7363
David Heckerman (2008),3848.052,-77.831,0.026,1,2008,1703,A Tutorial on Learning with Bayesian Networks,10.1007/978-3-540-85066-3_3
Amos Tversky & Daniel Kahneman (1974),6225.762,5294.451,0.063,3,1974,27301,Judgment under Uncertainty: Heuristics and Biases,10.1126/science.185.4157.1124
Katherine H. Karlsgodt et al. (2001),3481.514,6302.513,0.306,3,2001,1415,Functional Imaging of Neural Responses to Expectancy and Experience of Monetary Gains and Losses,10.1016/s0896-6273(01)00303-8
Andrew G. Barto (1998),2658.625,2912.291,0.001,0,1998,2992,Reinforcement Learning,10.1016/s1474-6670(17)38315-5
Richard S. Sutton & Andrew G. Barto (1998),725.2,2511.258,0.002,0,1998,6868,Introduction to Reinforcement Learning,
Richard S. Sutton (1990),1303.18,3480.778,0.003,0,1990,1356,"Integrated Architectures for Learning, Planning, and Reacting Based on Approximating Dynamic Programming",10.1016/b978-1-55860-141-3.50030-4
Nathaniel D. Daw et al. (2011),2402.151,4991.646,0.035,3,2011,1897,Model-Based Influences on Humans' Choices and Striatal Prediction Errors,10.1016/j.neuron.2011.02.027
Mattia Rigotti et al. (2013),1786.426,3836.757,0.014,0,2013,1753,The importance of mixed selectivity in complex cognitive tasks,10.1038/nature12160
Herbert Jaeger & Harald Haas (2004),600.272,2580.784,0.008,0,2004,3676,Harnessing Nonlinearity: Predicting Chaotic Systems and Saving Energy in Wireless Communication,10.1126/science.1091277
Thomas Martinetz et al. (1993),3328.912,-192.585,0.006,0,1993,1437,'Neural-gas' network for vector quantization and its application to time-series prediction,10.1109/72.238311
